towerName,rotationAngle,towerImageName,unitName,unitSvgOnTower,unitHoverSvg,unitType,directionThumbnail,towerMinimap
Tower B,180,tow-b-ang-180.jpg,B-0304,51.6 79.85,48.67 70.44 54.53 80.14 54.53 84.27 48.67 74.57,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0404,51.61 75.88,48.68 66.48 54.54 76.17 54.54 80.3 48.68 70.6,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0504,51.62 71.91,48.69 62.51 54.55 72.21 54.55 76.33 48.69 66.63,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0604,51.63 67.94,48.7 58.54 54.56 68.24 54.56 72.37 48.7 62.67,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0704,51.64 63.98,48.71 54.57 54.57 64.27 54.57 68.4 48.71 58.7,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0804,51.65 60.01,48.71 50.6 54.58 60.3 54.58 64.43 48.71 54.73,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0904,51.65 56.04,48.72 46.63 54.58 56.33 54.58 60.46 48.72 50.76,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01004,51.66 52.07,48.73 42.67 54.59 52.37 54.59 56.49 48.73 46.79,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01104,51.67 48.1,48.74 38.7 54.6 48.4 54.6 52.52 48.74 42.83,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01204,51.68 44.13,48.74 34.73 54.6 44.43 54.6 48.56 48.74 38.86,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01304,51.68 40.17,48.75 30.76 54.61 40.46 54.61 44.59 48.75 34.89,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01404,51.7 36.2,48.76 26.79 54.62 36.49 54.62 40.62 48.76 30.92,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01504,51.7 32.23,48.77 22.83 54.63 32.52 54.63 36.65 48.77 26.95,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01604,51.71 28.26,48.78 18.86 54.64 28.56 54.64 32.68 48.78 22.98,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01704,51.71 24.29,48.78 14.89 54.64 24.59 54.64 28.71 48.78 19.02,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0001,45.91 90.16,42.98 80.75 48.84 90.45 48.84 94.58 42.98 84.88,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0101,45.89 86.36,42.96 76.95 48.82 86.65 48.82 90.78 42.96 81.08,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0201,45.88 82.55,42.95 73.14 48.81 82.84 48.81 86.97 42.95 77.27,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0301,45.86 78.74,42.93 69.33 48.79 79.03 48.79 83.16 42.93 73.46,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0401,45.84 74.93,42.91 65.52 48.77 75.22 48.77 79.35 42.91 69.65,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0501,45.82 71.12,42.89 61.71 48.75 71.41 48.75 75.54 42.89 65.84,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0601,45.81 67.31,42.87 57.9 48.73 67.6 48.73 71.73 42.87 62.03,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0701,45.79 63.5,42.85 54.1 48.71 63.79 48.71 67.92 42.85 58.22,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0801,45.76 59.69,42.83 50.29 48.69 59.98 48.69 64.11 42.83 54.41,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0901,45.74 55.88,42.81 46.48 48.67 56.17 48.67 60.3 42.81 50.6,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01001,45.73 52.07,42.79 42.67 48.66 52.37 48.66 56.49 42.79 46.79,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01301,45.63 40.64,45.63 40.64 45.63 40.64 45.63 40.64 45.63 40.64,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01401,45.62 36.36,45.61 36.36 45.61 36.36 45.61 36.36 45.61 36.36,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01501,45.6 32.07,45.6 32.07 45.6 32.07 45.6 32.07 45.6 32.07,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01601,45.59 27.79,45.59 27.79 45.59 27.79 45.59 27.79 45.59 27.79,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-01701,45.58 23.5,45.58 23.5 45.58 23.5 45.58 23.5 45.58 23.5,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0002,51.95 90.33,49.01 80.92 54.88 90.62 54.88 94.75 49.01 85.05,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0102,51.95 86.52,49.02 77.11 54.88 86.81 54.88 90.94 49.02 81.24,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0202,51.95 82.71,49.02 73.3 54.88 83 54.88 87.13 49.02 77.43,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0302,51.96 78.9,49.03 69.49 54.89 79.19 54.89 83.32 49.03 73.62,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0402,51.96 75.09,49.03 65.68 54.89 75.38 54.89 79.51 49.03 69.81,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0502,51.96 71.28,49.03 61.87 54.89 71.57 54.89 75.7 49.03 66,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0602,51.97 67.47,49.04 58.06 54.9 67.76 54.9 71.89 49.04 62.19,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0702,51.97 63.66,49.04 54.25 54.9 63.95 54.9 68.08 49.04 58.38,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0802,51.98 59.85,49.04 50.44 54.9 60.14 54.9 64.27 49.04 54.57,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0902,51.98 56.04,49.05 46.63 54.91 56.33 54.91 60.46 49.05 50.76,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01002,51.98 52.23,49.05 42.83 54.91 52.52 54.91 56.65 49.05 46.95,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01102,51.99 48.42,49.05 39.02 54.92 48.71 54.92 52.84 49.05 43.14,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01202,51.99 44.61,49.06 35.21 54.92 44.9 54.92 49.03 49.06 39.33,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01302,52 40.8,49.06 31.4 54.92 41.1 54.92 45.22 49.06 35.52,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01402,52 36.99,49.07 27.59 54.93 37.29 54.93 41.41 49.07 31.71,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01502,52 33.18,49.07 23.78 54.93 33.48 54.93 37.6 49.07 27.9,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01602,52.01 29.37,49.07 19.97 54.93 29.67 54.93 33.79 49.07 24.1,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01702,52.01 25.56,49.08 16.16 54.94 25.86 54.94 29.98 49.08 20.29,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0003,45.99 90.01,45.99 90.01 45.99 90.01 45.99 90.01 45.99 90.01,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0103,45.97 86.36,45.97 86.36 45.97 86.36 45.97 86.36 45.97 86.36,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0203,45.95 82.71,45.95 82.71 45.95 82.71 45.95 82.71 45.95 82.71,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0303,45.93 79.06,45.93 79.06 45.93 79.06 45.93 79.06 45.93 79.06,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0403,45.91 75.4,45.91 75.4 45.91 75.4 45.91 75.4 45.91 75.4,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0503,45.89 71.75,45.89 71.75 45.89 71.75 45.89 71.75 45.89 71.75,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0603,45.87 68.1,45.87 68.1 45.87 68.1 45.87 68.1 45.87 68.1,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0703,45.85 64.45,45.85 64.45 45.85 64.45 45.85 64.45 45.85 64.45,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0803,45.84 60.8,45.83 60.8 45.83 60.8 45.83 60.8 45.83 60.8,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-0903,45.82 57.15,45.81 57.15 45.81 57.15 45.81 57.15 45.81 57.15,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01003,45.8 53.5,45.79 53.5 45.79 53.5 45.79 53.5 45.79 53.5,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01303,45.91 41.44,42.97 32.03 48.84 41.73 48.84 45.86 42.97 36.16,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01403,45.88 37.47,42.95 28.06 48.81 37.76 48.81 41.89 42.95 32.19,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01503,45.85 33.5,42.92 24.1 48.78 33.79 48.78 37.92 42.92 28.22,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01603,45.83 29.53,42.9 20.13 48.76 29.83 48.76 33.95 42.9 24.25,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,0,tow-c-ang-0.jpg,C-01703,45.81 25.56,42.87 16.16 48.73 25.86 48.73 29.98 42.87 20.29,2BHK-Type-1,tow-c-ang-0-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0004,52.76 91.75,49.83 82.34 55.69 92.04 55.69 96.17 49.83 86.47,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0104,52.77 87.94,49.84 78.54 55.7 88.24 55.7 92.37 49.84 82.67,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0204,52.78 84.13,49.85 74.73 55.71 84.43 55.71 88.56 49.85 78.86,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0304,52.79 80.33,49.86 70.92 55.73 80.62 55.73 84.75 49.86 75.05,2BHK-Type-1,tow-c-ang-180-tb.png,
